id,t,activator,inhibitor
27,31.2,0.546282,4.915761
27,31.6,0.580809,4.735827
27,32.0,0.620305,4.561804
27,32.4,0.666064,4.394625
27,32.8,0.719918,4.235497
27,33.2,0.784565,4.086025
27,33.6,0.864147,3.948426
27,34.0,0.965287,3.825894
27,34.4,1.098895,3.723231
27,34.8,1.282659,3.647859
27,35.2,1.541695,3.611002
27,35.6,1.898539,3.627499
27,36.0,2.346625,3.711582
27,36.4,2.834523,3.86971
27,36.8,3.291079,4.097173
27,37.2,3.660496,4.380578
27,37.6,3.913257,4.70212
27,38.0,4.039359,5.042622
27,38.4,4.038008,5.382911
27,38.8,3.908772,5.703849
27,39.2,3.642885,5.98511
27,39.6,3.208175,6.201824
27,40.0,2.501914,6.314774
28,0.0,2.835663,7.412447
28,0.4,0.84547,7.29265
28,0.8,0.337135,7.04905
28,1.2,0.349653,6.834477
28,1.6,0.363312,6.621961
28,2.0,0.378068,6.411656
28,2.4,0.394062,6.203749
28,2.8,0.411463,5.99845
28,3.2,0.430471,5.795999
28,3.6,0.451331,5.596674
28,4.0,0.474343,5.400796
28,4.4,0.499878,5.208743
28,4.8,0.528406,5.020963
28,5.2,0.560534,4.837994
28,5.6,0.597057,4.660492
28,6.0,0.639053,4.489273
28,6.4,0.688014,4.325377
28,6.8,0.746095,4.17016
28,7.2,0.81652,4.025457
28,7.6,0.90433,3.893848
28,8.0,1.01771,3.779115
28,8.4,1.170165,3.687039
28,8.8,1.382825,3.626547
28,9.2,1.681982,3.610615
28,9.6,2.081419,3.654624
28,10.0,2.554965,3.770293
28,10.4,3.037832,3.959311
28,10.8,3.462319,4.212731
28,11.2,3.783989,4.514785
28,11.6,3.982946,4.846814
28,12.0,4.05433,5.189558
28,12.4,3.998502,5.523924
28,12.8,3.812662,5.830503
28,13.2,3.480701,6.087634
28,13.6,2.950145,6.266256
28,14.0,2.043159,6.312759
28,14.4,0.533173,6.123421
28,14.8,0.419554,5.912723
28,15.2,0.439028,5.71154
28,15.6,0.460754,5.513626
28,16.0,0.484779,5.319312
28,16.4,0.511512,5.129002
28,16.8,0.541475,4.943179
28,17.2,0.575346,4.762427
28,17.6,0.614026,4.587464
28,18.0,0.658746,4.419191
28,18.4,0.711241,4.258766
28,18.8,0.774052,4.107725
28,19.2,0.85105,3.968173
28,19.6,0.948398,3.843127
28,20.0,1.076209,3.737092
28,20.4,1.251009,3.657021
28,20.8,1.497035,3.613513
28,21.2,1.838588,3.621017
28,21.6,2.275278,3.694301
28,22.0,2.761737,3.841371
28,22.4,3.227172,4.059138
28,22.8,3.612132,4.335231
28,23.2,3.883364,4.65227
28,23.6,4.028608,4.991159
28,24.0,4.046296,5.332692
28,24.4,3.93646,5.657771
28,24.8,3.692258,5.946389
28,25.2,3.286661,6.174725
28,25.6,2.633962,6.306948
28,26.0,1.419993,6.264046
28,26.4,0.418779,6.030923
28,26.8,0.427403,5.827494
28,27.2,0.447932,5.627659
28,27.6,0.470584,5.431218
28,28.0,0.495696,5.238539
28,28.4,0.52372,5.050057
28,28.8,0.555237,4.866295
28,29.2,0.59101,4.687888
28,29.6,0.632063,4.515623
28,30.0,0.679812,4.3505
28,30.4,0.736287,4.193818
28,30.8,0.804504,4.047323
28,31.2,0.889153,3.913451
28,31.6,0.997805,3.795758
28,32.0,1.142959,3.699641
28,32.4,1.344485,3.633452
28,32.8,1.628532,3.60954
28,33.2,2.012749,3.643206
28,33.6,2.478329,3.747248
28,34.0,2.964581,3.925138
28,34.4,3.401848,4.169396
28,34.8,3.741458,4.465031
28,35.2,3.960205,4.793639
28,35.6,4.051567,5.135971
28,36.0,4.015661,5.472908
28,36.4,3.85074,5.785174
28,36.8,3.543733,6.051676
28,37.2,3.05074,6.245126
28,37.6,2.227067,6.318171
28,38.0,0.693265,6.163017
28,38.4,0.417076,5.944513
28,38.8,0.435813,5.742825
28,39.2,0.45721,5.544381
28,39.6,0.480851,5.349478
28,40.0,0.507129,5.158512
29,0.0,1.559188,4.68718
29,0.4,1.029563,4.575312
29,0.8,0.729476,4.412147
29,1.2,0.723151,4.252047
29,1.6,0.77888,4.101558
29,2.0,0.855267,3.962611
29,2.4,0.953324,3.838294
29,2.8,1.082606,3.733208
29,3.2,1.259803,3.654443
29,3.6,1.509371,3.612772
29,4.0,1.855161,3.62276
29,4.4,2.295102,3.699044
29,4.8,2.782082,3.849205
29,5.2,3.245129,4.069696
29,5.6,3.625789,4.347854
29,6.0,3.891869,4.666175
29,6.4,4.03176,5.005537
29,6.8,4.044127,5.346744
29,7.2,3.928889,5.670691
29,7.6,3.67869,5.957286
29,8.0,3.265142,6.182434
29,8.4,2.59812,6.30942
29,8.8,1.3466,6.255934
29,9.2,0.417201,6.022122
29,9.6,0.428233,5.818937
29,10.0,0.44885,5.619239
29,10.4,0.471599,5.42295
29,10.8,0.496824,5.23044
29,11.2,0.524983,5.042148
29,11.6,0.556664,4.858599
29,12.0,0.592639,4.680436
29,12.4,0.633944,4.508453
29,12.8,0.682018,4.34366
29,13.2,0.738921,4.187371
29,13.6,0.807726,4.041356
29,14.0,0.893214,3.90809
29,14.4,1.003119,3.791188
29,14.8,1.150206,3.696146
29,15.2,1.354687,3.631474
29,15.6,1.64279,3.609689
29,16.0,2.031191,3.646131
29,16.4,2.499093,3.753323
29,16.8,2.9846,3.934255
29,17.2,3.418511,4.181037
29,17.6,3.753302,4.478461
29,18.0,3.966688,4.808044
29,18.4,4.052625,5.150534
29,18.8,4.011314,5.48682
29,19.2,3.840746,5.797592
29,19.6,3.527069,6.061616
29,20.0,3.024206,6.251152
29,20.4,2.179233,6.317282
29,20.8,0.640115,6.15193
29,21.2,0.417699,5.935874
29,21.6,0.436681,5.734325
29,22.0,0.458167,5.536023
29,22.4,0.481911,5.34128
29,22.8,0.508311,5.15049
29,23.2,0.537875,4.964128
29,23.6,0.571259,4.782764
29,24.0,0.609336,4.6071
29,24.4,0.653291,4.438011
29,24.8,0.70479,4.276622
29,25.2,0.766259,4.124417
29,25.6,0.841383,3.983423
29,26.0,0.935992,3.85653
29,26.4,1.059638,3.748032
29,26.8,1.227987,3.664542
29,27.2,1.464508,3.616195
29,27.6,1.79444,3.617083
29,28.0,2.221734,3.682271
29,28.4,2.705977,3.82087
29,28.8,3.177265,4.031062
29,29.2,3.573573,4.301323
29,29.6,3.858697,4.614645
29,30.0,4.018503,4.952016
29,30.4,4.050695,5.294211
29,30.8,3.955537,5.622144
29,31.2,3.727467,5.916011
29,31.6,3.342876,6.15268
29,32.0,2.72688,6.298505
29,32.4,1.609245,6.282757
29,32.8,0.427296,6.054787
29,33.2,0.425201,5.850488
29,33.6,0.445488,5.650285
29,34.0,0.467884,5.45344
29,34.4,0.492694,5.260311
29,34.8,0.520359,5.071326
29,35.2,0.551444,4.886996
29,35.6,0.586685,4.707941
29,36.0,0.627073,4.53493
29,36.4,0.673971,4.368934
29,36.8,0.72932,4.211211
29,37.2,0.796002,4.063446
29,37.6,0.878462,3.927982
29,38.0,0.98386,3.808214
29,38.4,1.124003,3.709281
29,38.8,1.317839,3.639134
29,39.2,1.591188,3.609652
29,39.6,1.964028,3.635988
29,40.0,2.422808,3.731613
30,0.0,3.673612,6.826577
30,0.4,2.821633,6.987845
30,0.8,1.191564,6.916223
30,1.2,0.361433,6.667353
30,1.6,0.374809,6.456497
30,2.0,0.390525,6.24806
30,2.4,0.407608,6.042183
30,2.8,0.426254,5.8391
30,3.2,0.446694,5.63908
30,3.6,0.469217,5.442435
30,4.0,0.494175,5.249528
30,4.4,0.522017,5.060791
30,4.8,0.553314,4.876741
30,5.2,0.588817,4.698005
30,5.6,0.629532,4.525362
30,6.0,0.676848,4.359796
30,6.4,0.73275,4.202586
30,6.8,0.800184,4.055446
30,7.2,0.883716,3.920764
30,7.6,0.990706,3.802015
30,8.0,1.133297,3.704462
30,8.4,1.330895,3.636255
30,8.8,1.609504,3.609504
30,9.2,1.988,3.639446
30,9.6,2.450247,3.73923
30,10.0,2.937302,3.912975
30,10.4,3.378976,4.153766
30,10.8,3.725053,4.446924
30,11.2,3.951048,4.774155
30,11.6,4.049766,5.116217
30,12.0,4.021183,5.453982
30,12.4,3.863883,5.768211
30,12.8,3.565804,6.037997
30,13.2,3.085831,6.236627
30,13.6,2.289619,6.318728
30,14.0,0.776195,6.178276
30,14.4,0.416322,5.956235
30,14.8,0.434643,5.754356
30,15.2,0.45592,5.555718
30,15.6,0.479422,5.360602
30,16.0,0.505535,5.169397
30,16.4,0.534756,4.982568
30,16.8,0.567723,4.800674
30,17.2,0.605283,4.624403
30,17.6,0.648584,4.45461
30,18.0,0.699234,4.292391
30,18.4,0.759565,4.139186
30,18.8,0.833105,3.996958
30,19.2,0.925411,3.868489
30,19.6,1.045567,3.757899
30,20.0,1.20851,3.671516
30,20.4,1.43698,3.619075
30,20.8,1.756782,3.614326
30,21.2,2.175377,3.672511
30,21.6,2.656887,3.803654
30,22.0,3.132633,4.00707
30,22.4,3.538518,4.272026
30,22.8,3.835695,4.58188
30,23.2,4.008264,4.917714
30,23.6,4.053196,5.260285
30,24.0,3.970868,5.590513
30,24.4,3.756726,5.888744
30,24.8,3.389853,6.132382
30,25.2,2.803622,6.289462
30,25.6,1.76229,6.295635
30,26.0,0.443335,6.076193
30,26.4,0.423304,5.870701
30,26.8,0.443365,5.670179
30,27.2,0.46554,5.472982
30,27.6,0.49009,5.279464
30,28.0,0.517446,5.090042
30,28.4,0.548159,4.90522
30,28.8,0.582945,4.725606
30,29.2,0.622764,4.55195
30,29.6,0.668934,4.385201
30,30.0,0.723327,4.226582
30,30.4,0.788706,4.077729
30,30.8,0.869322,3.940901
30,31.2,0.971989,3.819367
30,31.6,1.107935,3.718046
30,32.0,1.295309,3.644553
30,32.4,1.559512,3.61035
30,32.8,1.922233,3.630406
30,33.2,2.374397,3.718694
30,33.6,2.862403,3.881059
30,34.0,3.315192,4.112179
30,34.4,3.678438,4.398295
30,34.8,3.924021,4.721458
30,35.2,4.04274,5.062467
30,35.6,4.034049,5.402162
30,36.0,3.89729,5.721384
30,36.4,3.622872,5.999664
30,36.8,3.176416,6.21168
30,37.2,2.447613,6.316723
30,37.6,1.045254,6.218956
30,38.0,0.415166,5.988188
30,38.4,0.431495,5.785749
30,38.8,0.452451,5.586591
30,39.2,0.475581,5.390899
30,39.6,0.501256,5.199053
30,40.0,0.529952,5.011505
31,0.0,3.260944,8.589993
31,0.4,0.727946,8.461277
31,0.8,0.282657,8.21029
31,1.2,0.291577,7.987019
31,1.6,0.301077,7.765173
31,2.0,0.311203,7.544845
31,2.4,0.322019,7.326139
31,2.8,0.333598,7.109169
31,3.2,0.346026,6.894062
31,3.6,0.359401,6.680959
31,4.0,0.373838,6.470021
31,4.4,0.389472,6.261426
31,4.8,0.406462,6.055377
31,5.2,0.425,5.852106
31,5.6,0.445317,5.65188
31,6.0,0.467695,5.455007
31,6.4,0.492484,5.261847
31,6.8,0.520124,5.072826
31,7.2,0.551178,4.888456
31,7.6,0.586383,4.709356
31,8.0,0.626725,4.536294
31,8.4,0.673563,4.370236
31,8.8,0.728835,4.212441
31,9.2,0.79541,4.064588
31,9.6,0.87772,3.929013
31,10.0,0.982895,3.809101
31,10.4,1.122694,3.709974
31,10.8,1.316002,3.639554
31,11.2,1.588609,3.609687
31,11.6,1.96064,3.635515
31,12.0,2.418911,3.730548
31,12.4,2.906576,3.899625
31,12.8,3.352985,4.136476
31,13.2,3.70621,4.426788
31,13.6,3.940294,4.7524
31,14.0,4.04725,5.094085
31,14.4,4.026861,5.432702
31,14.8,3.878051,5.749048
31,15.2,3.58982,6.022408
31,15.6,3.123969,6.226671
31,16.0,2.356726,6.318505
31,16.4,0.881297,6.195369
31,16.8,0.415647,5.969378
31,17.2,0.43334,5.767278
31,17.6,0.454485,5.568425
31,18.0,0.477832,5.37307
31,18.4,0.503764,5.1816
31,18.8,0.532766,4.994473
31,19.2,0.565469,4.812242
31,19.6,0.602702,4.635585
31,20.0,0.64559,4.465344
31,20.4,0.695705,4.302597
31,20.8,0.755323,4.148759
31,21.2,0.827871,4.00575
31,21.6,0.918741,3.876287
31,22.0,1.036727,3.764382
31,22.4,1.196309,3.676188
31,22.8,1.41974,3.621184
31,23.2,1.733068,3.612887
31,23.6,2.14586,3.666616
31,24.0,2.625223,3.79295
31,24.4,3.103494,3.991941
31,24.8,3.515346,4.25339
31,25.2,3.820209,4.560909
31,25.6,4.000989,4.89565
31,26.0,4.054134,5.238362
31,26.4,3.980052,5.569965
31,26.8,3.77478,5.87089
31,27.2,3.419001,6.118855
31,27.6,2.850876,6.282875
31,28.0,1.854572,6.302278
31,28.4,0.460792,6.090353
31,28.8,0.422107,5.88374
31,29.2,0.442008,5.683012
31,29.6,0.464042,5.485591
31,30.0,0.488428,5.291824
31,30.4,0.515588,5.102124
31,30.8,0.546064,4.916988
31,31.2,0.580562,4.737017
31,31.6,0.620021,4.562951
31,32.0,0.665732,4.395723
31,32.4,0.719524,4.236536
31,32.8,0.784087,4.086993
31,33.2,0.863549,3.949305
31,33.6,0.964515,3.826658
31,34.0,1.097855,3.72384
31,34.4,1.281204,3.648252
31,34.8,1.539644,3.611089
31,35.2,1.895803,3.627176
31,35.6,2.343404,3.71077
31,36.0,2.831272,3.868405
31,36.4,3.288255,4.09544
31,36.8,3.658383,4.378525
31,37.2,3.911978,4.699874
31,37.6,4.038938,5.040313
31,38.0,4.03844,5.380667
31,38.4,3.910078,5.701801
31,38.8,3.645177,5.983403
31,39.2,3.211814,6.200656
31,39.6,2.508102,6.314507
31,40.0,1.163686,6.234373
32,0.0,3.538873,7.321476
32,0.4,2.321034,7.411703
32,0.8,0.372658,7.187533
32,1.2,0.341575,6.969275
32,1.6,0.354597,6.755452
32,2.0,0.368647,6.543736
32,2.4,0.383844,6.334297
32,2.8,0.400338,6.12733
32,3.2,0.418309,5.923057
32,3.6,0.437973,5.72173
32,4.0,0.459593,5.523643
32,4.4,0.483491,5.329136
32,4.8,0.510075,5.138611
32,5.2,0.539858,4.952545
32,5.6,0.57351,4.771519
32,6.0,0.611918,4.59624
32,6.4,0.656293,4.4276
32,6.8,0.708338,4.266742
32,7.2,0.770543,4.115176
32,7.6,0.846693,3.974975
32,8.0,0.942799,3.849095
32,8.4,1.068721,3.741947
32,8.8,1.240595,3.660329
32,9.2,1.482325,3.614633
32,9.6,1.81867,3.619151
32,10.0,2.251228,3.688798
32,10.4,2.736814,3.832081
32,10.8,3.204968,4.046478
32,11.2,3.595061,4.319989
32,11.6,3.872529,4.635396
32,12.0,4.024292,4.973637
32,12.4,4.048469,5.315497
32,12.8,3.945209,5.641885
32,13.2,3.708263,5.932888
32,13.6,3.312181,6.165006
32,14.0,2.676302,6.303424
32,14.4,1.506605,6.272964
32,14.8,0.421683,6.041552
32,15.2,0.426413,5.837779
32,15.6,0.446835,5.637778
32,16.0,0.469372,5.441156
32,16.4,0.494348,5.248275
32,16.8,0.52221,5.059567
32,17.2,0.553533,4.87555
32,17.6,0.589066,4.696851
32,18.0,0.629819,4.524252
32,18.4,0.677184,4.358736
32,18.8,0.733151,4.201585
32,19.2,0.800674,4.054518
32,19.6,0.884332,3.919928
32,20.0,0.991509,3.801298
32,20.4,1.134389,3.703908
32,20.8,1.33243,3.635929
32,21.2,1.611655,3.609499
32,21.6,1.990806,3.639862
32,22.0,2.453443,3.740131
32,22.4,2.940418,3.91435
32,22.8,3.381598,4.155538
32,23.2,3.726943,4.448982
32,23.6,3.952113,4.776372
32,24.0,4.049993,5.118468
32,24.4,4.020575,5.456142
32,24.8,3.862409,5.770151
32,25.2,3.563319,6.039567
32,25.6,3.081882,6.237614
32,26.0,2.282619,6.318701
32,26.4,0.766167,6.176531
32,26.8,0.416402,5.954899
32,27.2,0.434776,5.753042
32,27.6,0.456067,5.554426
32,28.0,0.479584,5.359334
32,28.4,0.505716,5.168156
32,28.8,0.534959,4.981357
32,29.2,0.567953,4.799498
32,29.6,0.605547,4.623267
32,30.0,0.64889,4.453519
32,30.4,0.699595,4.291354
32,30.8,0.76,4.138214
32,31.2,0.833642,3.996066
32,31.6,0.926096,3.867699
32,32.0,1.046477,3.757244
32,32.4,1.209767,3.671049
32,32.8,1.438757,3.618871
32,33.2,1.75922,3.614487
32,33.6,2.178397,3.673128
32,34.0,2.660108,3.80476
32,34.4,3.135582,4.008624
32,34.8,3.540851,4.273933
32,35.2,3.837242,4.58402
32,35.6,4.008975,4.919961
32,36.0,4.053071,5.262513
32,36.4,3.969903,5.592597
32,36.8,3.754854,5.890548
32,37.2,3.386838,6.13374
32,37.6,2.798719,6.290099
32,38.0,1.752626,6.294888
32,38.4,0.441925,6.074771
32,38.8,0.423427,5.869375
32,39.2,0.443504,5.668873
32,39.6,0.465693,5.4717
32,40.0,0.49026,5.278207
33,0.0,3.236829,5.823701
33,0.4,2.765224,5.974458
33,0.8,1.94113,6.005055
33,1.2,0.589763,5.825094
33,1.6,0.449703,5.617981
33,2.0,0.471759,5.421683
33,2.4,0.496997,5.229198
33,2.8,0.525178,5.040935
33,3.2,0.556884,4.857419
33,3.6,0.592889,4.679293
33,4.0,0.634234,4.507353
33,4.4,0.682357,4.342611
33,4.8,0.739327,4.186383
33,5.2,0.808223,4.040443
33,5.6,0.893841,3.90727
33,6.0,1.00394,3.79049
33,6.4,1.151327,3.695615
33,6.8,1.356266,3.631177
33,7.2,1.644995,3.609721
33,7.6,2.034034,3.646592
33,8.0,2.502283,3.754267
33,8.4,2.987663,3.935664
33,8.8,3.421052,4.182832
